t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
35440.2,44.1638,6945.48,4607.04,6945.72,4608.75,3088.36,0,0.855935,22.643,4.56,4.51246
35451.3,90.6027,6944.8,4595.06,6945.39,4605.46,3083.62,1,0.131865,11.0372,4.89,4.60351
35468.4,58.5114,6944.8,4595.06,6945.1,4600.34,3072.36,0,0.559133,17.0907,4.89,4.74451
35485.7,57.5606,6944.8,4595.06,6944.8,4595.14,3061,0,0.993457,17.373,4.89,4.88784
35501.4,63.7544,6944.73,4583.06,6944.77,4590.43,3053.36,1,0.385588,15.6852,5.22,5.01724
35518.1,59.9826,6944.73,4583.06,6944.75,4585.43,3042.6,0,0.802375,16.6715,5.22,5.15478
35535.8,56.6277,6945.04,4571.07,6944.81,4580.14,3033.81,1,0.243855,17.6592,5.55,5.30047
35551.6,63.1054,6945.04,4571.07,6944.93,4575.38,3023.71,0,0.640018,15.8465,5.55,5.43121
35568,60.9169,6945.6,4559.08,6945.07,4570.46,3015.84,1,0.0504125,16.4158,5.88,5.56664
35585.4,57.5248,6945.6,4559.08,6945.31,4565.25,3004.91,0,0.485007,17.3838,5.88,5.71005
35601.9,60.5649,6945.6,4559.08,6945.54,4560.3,2994.6,0,0.897788,16.5112,5.88,5.84627
35617.9,62.6669,6946.33,4547.1,6945.82,4555.52,2987.19,1,0.296723,15.9574,0.209999,0.209999
35634.4,60.5331,6946.33,4547.1,6946.12,4550.58,2977.01,0,0.70972,16.5199,0.209999,0.209999
35653.4,52.6923,6947.22,4535.13,6946.5,4544.9,2967.87,1,0.184172,18.9781,0.539999,0.270776
35668,68.5669,6947.22,4535.13,6946.82,4540.53,2958.99,0,0.54878,14.5843,0.539999,0.391097
35691.1,43.1246,6946.95,4523.14,6947.19,4533.59,2947.45,1,0.128495,23.1886,0.869999,0.582402
35700.9,102.477,6946.95,4523.14,6947.12,4530.67,2941.59,0,0.372452,9.7583,0.869999,0.662908
35718.4,57.2734,6946.95,4523.14,6947,4525.43,2931.18,0,0.808955,17.4601,0.869999,0.806954
35734.6,61.7154,6945.69,4511.2,6946.68,4520.58,2924,1,0.21404,16.2034,1.2,0.940632
35751.1,60.4939,6945.69,4511.2,6946.16,4515.65,2914.26,0,0.627305,16.5306,1.2,1.07701
35768.1,58.8571,6944.58,4499.25,6945.64,4510.58,2906.73,1,0.0520625,16.9903,1.53,1.21718
35790.3,45.039,6944.58,4499.25,6945.02,4503.95,2893.82,0,0.607138,22.203,1.53,1.40035
35802.6,81.3848,6944.58,4499.25,6944.68,4500.28,2886.73,0,0.91432,12.2873,1.53,1.50172
35818.9,61.0825,6943.59,4487.3,6944.26,4495.38,2879.72,1,0.323602,16.3713,1.86,1.63679
35835.6,60.0096,6943.59,4487.3,6943.85,4490.4,2870.22,0,0.740202,16.664,1.86,1.77427
35851.7,62.1744,6942.72,4475.33,6943.46,4485.59,2863.47,1,0.142298,16.0838,2.19,1.90696
35868.1,60.8476,6942.72,4475.33,6943.11,4480.67,2854.21,0,0.55316,16.4345,2.19,2.04254
35885.1,58.8841,6942.72,4475.33,6942.74,4475.59,2844.7,0,0.977723,16.9825,2.19,2.18265
35901.2,62.1423,6943.96,4463.39,6943.19,4470.79,2838.09,1,0.380025,16.0921,2.52,2.31541
35917.9,59.8415,6943.96,4463.39,6943.71,4465.81,2828.84,0,0.797795,16.7108,2.52,2.45327
35934.6,60.0247,6947.09,4451.81,6944.63,4460.91,2822.02,1,0.21429,16.6598,2.85,2.59071
35951.2,60.2627,6947.09,4451.81,6945.93,4456.1,2812.95,0,0.62914,16.594,2.85,2.72762
35968.6,57.5089,6952.44,4441.07,6947.43,4451.12,2805.82,1,0.063855,17.3886,3.18,2.87107
35984.9,61.2798,6952.44,4441.07,6949.61,4446.74,2797.01,0,0.47182,16.3186,3.18,3.0057
36002.5,56.6771,6952.44,4441.07,6951.98,4442,2787.55,0,0.912915,17.6438,3.18,3.15126
36018.4,62.8295,6959.37,4431.27,6954.6,4438.02,2781.36,1,0.310818,15.9161,3.51,3.28257
36036,56.8673,6959.37,4431.27,6957.64,4433.72,2772.04,0,0.750437,17.5848,3.51,3.42764
36051.8,63.4164,6967.79,4422.72,6960.59,4430.03,2766.01,1,0.144657,15.7688,3.84,3.55774
36073.1,46.8174,6967.79,4422.72,6965.09,4425.47,2754.83,0,0.678648,21.3596,3.84,3.73395
36085.3,82.5375,6967.79,4422.72,6967.64,4422.88,2748.53,0,0.98154,12.1157,3.84,3.83391
36102,59.6862,6976.04,4414,6971.1,4419.23,2742.13,1,0.400398,16.7543,4.17,3.97213
36120.1,55.2081,6976.04,4414,6974.83,4415.28,2732.81,0,0.85323,18.1133,4.17,4.12156
36136.5,60.905,6984.18,4405.19,6978.18,4411.68,2726.66,1,0.263705,16.419,4.5,4.25702
36152.3,63.5247,6984.18,4405.19,6981.39,4408.21,2718.66,0,0.657252,15.7419,4.5,4.38689
36168.4,61.8977,6992.26,4396.32,6984.67,4404.64,2712.73,1,0.061145,16.1557,4.83,4.52018
36186.5,55.4499,6992.26,4396.32,6988.32,4400.65,2703.67,0,0.512003,18.0343,4.83,4.66896
36203.7,58.0356,6992.26,4396.32,6991.8,4396.82,2695.06,0,0.942773,17.2308,4.83,4.81111
36219.4,63.9121,7000.31,4387.42,6994.95,4393.35,2689.51,1,0.333935,15.6465,5.16,4.9402
36236.6,57.8915,7000.31,4387.42,6998.43,4389.5,2680.98,0,0.765778,17.2737,5.16,5.08271
36253.1,60.6178,7008.35,4378.5,7001.75,4385.83,2675.09,1,0.178198,16.4968,5.49,5.2188
36269.3,61.669,7008.35,4378.5,7005,4382.22,2667.17,0,0.583588,16.2156,5.49,5.35258
36286.2,59.4884,7016.37,4369.58,7008.38,4378.47,2661.2,1,0.0038375,16.81,5.82,5.49127
36302.3,62.0752,7016.37,4369.58,7011.61,4374.87,2653.42,0,0.406575,16.1095,5.82,5.62417
36318.1,63.0696,7016.37,4369.58,7014.79,4371.34,2645.82,0,0.802962,15.8555,5.82,5.75498
36335.7,56.7389,7024.38,4360.65,7018.32,4367.4,2639.57,1,0.243577,17.6246,0.149999,0.149999
36351.9,61.8131,7024.38,4360.65,7021.56,4363.79,2631.9,0,0.648022,16.1778,0.149999,0.149999
36369.1,58.3138,7032.39,4351.71,7025,4359.96,2625.96,1,0.0767375,17.1486,0.479999,0.175322
36385.8,59.9053,7032.39,4351.71,7028.34,4356.23,2618.13,0,0.494063,16.693,0.479999,0.313039
36403.8,55.5824,7032.39,4351.71,7031.94,4352.21,2609.74,0,0.943845,17.9913,0.479999,0.461468
36418.5,67.7218,7040.4,4342.77,7034.9,4348.91,2605.03,1,0.313002,14.7663,0.809999,0.58329
36435.1,60.3646,7040.4,4342.77,7038.21,4345.21,2597.39,0,0.727153,16.566,0.809999,0.719959
36451.6,60.5125,7048.4,4333.83,7041.52,4341.52,2591.93,1,0.14029,16.5255,1.14,0.856294
36472.9,46.903,7048.4,4333.83,7045.78,4336.75,2582.2,0,0.673305,21.3206,1.14,1.03219
36485.8,77.5122,7048.4,4333.83,7048.37,4333.87,2576.36,0,0.995835,12.9012,1.14,1.13862
36502.1,61.3177,7053.01,4322.75,7050.26,4329.36,2571.1,1,0.403547,16.3085,1.47,1.27317
36522.3,49.5592,7053.01,4322.75,7052.58,4323.77,2562.06,0,0.907995,20.1779,1.47,1.43964
