t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha
52648.3,57.8968,8050,11850,8050,11850,1143.82,0,0.507705
52664.1,62.9279,8050,11850,8050,11850,1140.87,0,0.904985
52680.7,60.2272,8050,11850,8050,11850,1137.81,1,0.32008
52698.2,57.2269,8050,11850,8050,11850,1134.6,0,0.756938
52714.4,61.7265,8050,11850,8050,11850,1131.65,1,0.16195
52733.6,52.0259,8050,11850,8050,11850,1128.16,0,0.64248
52750.2,60.54,8050,11850,8050,11850,1125.18,1,0.05543
52768.7,53.9566,8050,11850,8050,11850,1121.85,0,0.518765
52785,61.3791,8050,11850,8050,11850,1118.94,0,0.92607
52802,58.7289,8050,11850,8050,11850,1115.92,1,0.351755
52817.3,65.3676,8050,11850,8050,11850,1113.22,0,0.734208
52832.7,65.0792,8050,11850,8050,11850,1110.52,1,0.118355
52850.6,55.8263,8050,11850,8050,11850,1107.39,0,0.566172
52867.7,58.4395,8050,11850,8050,11850,1104.41,0,0.993965
52883.9,61.781,8050,11850,8050,11850,1101.62,1,0.39862
52897.5,73.6643,8050,11850,8050,11850,1099.28,0,0.737997
52914.6,58.5083,8050,11850,8050,11850,1096.35,1,0.165287
52933.4,52.9322,8050,11850,8050,11850,1093.13,0,0.63759
52948.1,68.4051,8050,11850,8050,11850,1090.66,1,0.00306
52965.1,58.6301,8050,11850,8050,11850,1087.78,0,0.429462
52981.6,60.6006,8050,11850,8050,11850,1085.01,0,0.842
52999.8,54.9895,8050,11850,8050,11850,1081.98,1,0.296632
53015.2,65.0199,8050,11850,8050,11850,1079.42,0,0.68113
53031.7,60.4785,8050,11850,8050,11850,1076.69,1,0.0945
53047.5,63.2499,8050,11850,8050,11850,1074.09,0,0.489758
53066.9,51.5985,8050,11850,8050,11850,1070.92,0,0.974267
53081.2,70.081,8050,11850,8050,11850,1068.6,1,0.330997
53097.5,61.2441,8050,11850,8050,11850,1065.96,0,0.7392
53114.1,60.3708,8050,11850,8050,11850,1063.29,1,0.153307
53131.5,57.3,8050,11850,8050,11850,1060.49,0,0.589607
53147.7,61.9164,8050,11850,8050,11850,1057.92,0,0.993378
53164.3,60.094,8050,11850,8050,11850,1055.28,1,0.409393
53181.7,57.4686,8050,11850,8050,11850,1052.53,0,0.844413
53197.8,62.1276,8050,11850,8050,11850,1050,1,0.24681
53214.7,59.3514,8050,11850,8050,11850,1047.37,0,0.66803
53232.8,55.2798,8050,11850,8050,11850,1044.55,1,0.120275
53248,65.4553,8050,11850,8050,11850,1042.19,0,0.502215
53264.4,61.1337,8050,11850,8050,11850,1039.67,0,0.911155
53281.5,58.5305,8050,11850,8050,11850,1037.05,1,0.338282
53297.9,60.9217,8050,11850,8050,11850,1034.55,0,0.748645
53314.7,59.6598,8050,11850,8050,11850,1032,1,0.167688
53331.5,59.5178,8050,11850,8050,11850,1029.47,0,0.58773
53348.3,59.3123,8050,11850,8050,11850,1026.93,1,0.0092275
53364.3,62.5004,8050,11850,8050,11850,1024.54,0,0.409225
53382.4,55.3486,8050,11850,8050,11850,1021.85,0,0.860907
53402.9,48.6436,8050,11850,8050,11850,1018.81,1,0.37485
53427.8,40.176,8050,11850,8050,11850,1015.15,0,0.997113
53444.2,61.0967,8050,11850,8050,11850,1012.76,1,0.4063
53460.8,60.3934,8050,11850,8050,11850,1010.35,0,0.820252
53478.1,57.5997,8050,11850,8050,11850,1007.84,1,0.254283
53501.5,42.7601,8050,11850,8050,11850,1004.47,0,0.83894
53517.4,63.0366,8050,11850,8050,11850,1002.2,1,0.235535
53541.9,40.7236,8050,11850,8050,11850,998.709,0,0.84943
53555,76.6912,8050,11850,8050,11850,996.863,1,0.175413
53574.7,50.6491,8050,11850,8050,11850,994.082,0,0.669005
53596.8,45.2956,8050,11850,8050,11850,990.991,1,0.220935
53615.6,53.0459,8050,11850,8050,11850,988.366,0,0.692225
53634.5,53.0054,8050,11850,8050,11850,985.753,1,0.163875
53652.2,56.6386,8050,11850,8050,11850,983.321,0,0.60527
53669,59.4576,8050,11850,8050,11850,981.015,1,0.0257375
53697.3,35.2634,8050,11850,8050,11850,977.151,0,0.734688
53711.1,72.3846,8050,11850,8050,11850,975.279,1,0.080065
53727.8,59.9578,8050,11850,8050,11850,973.029,0,0.497025
53740.8,77.3563,8050,11850,8050,11850,971.293,0,0.820205
53752.4,85.7677,8050,11850,8050,11850,969.732,1,0.11169
53769.4,58.9265,8050,11850,8050,11850,967.469,0,0.535948
53784.4,66.4947,8050,11850,8050,11850,965.472,0,0.911918
53801.2,59.527,8050,11850,8050,11850,963.251,1,0.331895
53816,67.5511,8050,11850,8050,11850,961.303,0,0.701985
53831.4,65.061,8050,11850,8050,11850,959.288,1,0.08624
53852.1,48.2558,8050,11850,8050,11850,956.585,0,0.604312
53867.9,63.2151,8050,11850,8050,11850,954.532,0,0.999788
53884.9,58.8769,8050,11850,8050,11850,952.337,1,0.424403
53911.1,38.2722,8050,11850,8050,11850,948.981,1,0.0776175
53924.8,72.7956,8050,11850,8050,11850,947.225,0,0.421045
53939,70.5522,8050,11850,8050,11850,945.421,0,0.775392
53951.7,78.7451,8050,11850,8050,11850,943.81,1,0.0928725
53967.1,64.8803,8050,11850,8050,11850,941.863,0,0.478197
53984.1,58.7316,8050,11850,8050,11850,939.721,0,0.903862
54002.7,53.8054,8050,11850,8050,11850,937.394,1,0.3685
54018.2,64.477,8050,11850,8050,11850,935.461,0,0.756235
54034.9,59.8312,8050,11850,8050,11850,933.386,1,0.174077
54049.9,66.4969,8050,11850,8050,11850,931.528,0,0.550035
54067.2,58.0845,8050,11850,8050,11850,929.409,0,0.980443
54086.7,51.1548,8050,11850,8050,11850,927.015,1,0.469155
54104.4,56.6049,8050,11850,8050,11850,924.862,0,0.910812
54116.3,83.9236,8050,11850,8050,11850,923.415,1,0.208703
54132.7,60.9388,8050,11850,8050,11850,921.431,0,0.61895
54150.8,55.2084,8050,11850,8050,11850,919.25,1,0.07178
54166.4,64.3625,8050,11850,8050,11850,917.387,0,0.460205
54182.6,61.4537,8050,11850,8050,11850,915.445,0,0.867015
54200,57.5934,8050,11850,8050,11850,913.381,1,0.301093
54215.9,62.9069,8050,11850,8050,11850,911.5,0,0.698505
54233.1,58.0504,8050,11850,8050,11850,909.47,1,0.129165
54250.5,57.6675,8050,11850,8050,11850,907.436,0,0.562685
54268.5,55.3817,8050,11850,8050,11850,905.327,1,0.0140975
54286.3,56.2404,8050,11850,8050,11850,903.261,0,0.458618
54298.2,84.1489,8050,11850,8050,11850,901.884,0,0.75571
54332.1,29.4363,8050,11850,8050,11850,897.974,1,0.605003
54357.7,39.0607,8050,11850,8050,11850,895.049,1,0.245033
54372.1,69.633,8050,11850,8050,11850,893.417,0,0.604057
