t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms
33850.8,70.0221,8450,2550,8450,2550,2649.83,0,0.920783,14.2812
33867.3,60.8902,8450,2550,8450,2550,2642.83,1,0.331358,16.423
33885,56.2205,8450,2550,8450,2550,2635.29,0,0.776035,17.7871
33901.2,61.9594,8450,2550,8450,2550,2628.48,1,0.179525,16.1396
33916.7,64.3608,8450,2550,8450,2550,2621.97,0,0.56796,15.5374
33935.6,52.8905,8450,2550,8450,2550,2614.08,1,0.040635,18.907
33951.2,64.1519,8450,2550,8450,2550,2607.61,0,0.430335,15.588
33968,59.7011,8450,2550,8450,2550,2600.7,0,0.849087,16.7501
33984.3,61.3538,8450,2550,8450,2550,2594.01,1,0.25656,16.2989
34000.8,60.4113,8450,2550,8450,2550,2587.24,0,0.67039,16.5532
34018.5,56.4732,8450,2550,8450,2550,2580.05,1,0.113077,17.7075
34033.9,65.1899,8450,2550,8450,2550,2573.85,0,0.496572,15.3398
34050.8,59.145,8450,2550,8450,2550,2567.05,0,0.919263,16.9076
34067.9,58.548,8450,2550,8450,2550,2560.22,1,0.346263,17.08
34094,38.2573,8450,2550,8450,2550,2549.83,0,0.999732,26.1388
34108.5,69.0517,8450,2550,8450,2550,2544.12,1,0.36178,14.4819
34122.7,70.2035,8450,2550,8450,2550,2538.52,0,0.717888,14.2443
34153.3,32.7344,8450,2550,8450,2550,2526.59,1,0.48161,30.5489
34179.6,37.9929,8450,2550,8450,2550,2516.41,1,0.139628,26.3207
34193.7,70.9451,8450,2550,8450,2550,2510.99,0,0.492013,14.0954
34205.8,82.6973,8450,2550,8450,2550,2506.36,0,0.79432,12.0923
34216.7,91.25,8450,2550,8450,2550,2502.17,1,0.0682925,10.9589
34234.4,56.7566,8450,2550,8450,2550,2495.48,0,0.50877,17.6191
34252.2,55.8918,8450,2550,8450,2550,2488.71,0,0.956062,17.8917
34266.9,68.2412,8450,2550,8450,2550,2483.2,1,0.32241,14.6539
34283.9,58.8651,8450,2550,8450,2550,2476.84,0,0.74711,16.988
34300.9,58.6768,8450,2550,8450,2550,2470.5,1,0.173173,17.0425
34320.1,52.2573,8450,2550,8450,2550,2463.41,0,0.651575,19.1361
34336.2,61.7951,8450,2550,8450,2550,2457.45,1,0.0561375,16.1825
34351.4,65.99,8450,2550,8450,2550,2451.89,0,0.434983,15.1538
34366.9,64.4056,8450,2550,8450,2550,2446.22,0,0.823147,15.5266
34385.7,53.272,8450,2550,8450,2550,2439.4,1,0.292437,18.7716
34402.8,58.4539,8450,2550,8450,2550,2433.22,0,0.720125,17.1075
34419.3,60.518,8450,2550,8450,2550,2427.28,1,0.133225,16.524
34434.3,66.8212,8450,2550,8450,2550,2421.93,0,0.507357,14.9653
34450.3,62.4887,8450,2550,8450,2550,2416.23,0,0.90743,16.0029
34467.6,57.7367,8450,2550,8450,2550,2410.09,1,0.34043,17.32
34485.7,55.2743,8450,2550,8450,2550,2403.71,0,0.79272,18.0916
34502,61.2467,8450,2550,8450,2550,2397.98,1,0.200905,16.3274
34519.2,58.1781,8450,2550,8450,2550,2391.98,0,0.63062,17.1886
34536.6,57.4472,8450,2550,8450,2550,2385.94,1,0.0658025,17.4073
34551.3,68.0545,8450,2550,8450,2550,2380.86,0,0.433155,14.6941
