t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
63613.7,5.44079,13750,12250,13750,12250,285.825,5,0.188383,183.797,0.240007,0.240007,4.59492,0.358679,148.703,0.4041
63764.5,6.62933,13750,12250,13750,12250,284.589,3,0.959503,150.845,1.08001,1.06867,3.77112,0.431063,121.849,0.5522
63902,7.27432,13750,12250,13750,12250,283.471,4,0.396248,137.47,2.20001,2.03096,3.43674,0.464456,119.111,0.4116
64056.8,6.45923,13750,12250,13750,12250,282.222,4,0.266677,154.817,3.32001,3.11468,3.87043,0.421616,128.587,0.4007
64244.8,5.31861,13750,12250,13750,12250,280.721,4,0.967157,188.019,4.44001,4.43081,4.70048,0.350329,165.124,0.4825
64437.8,5.18079,13750,12250,13750,12250,279.196,5,0.792678,193.021,5.84001,5.78196,4.82552,0.34069,132.056,0.3625
64588.6,6.63198,13750,12250,13750,12250,278.016,4,0.56229,150.785,0.960009,0.83745,3.76961,0.431208,130.346,0.458
64768.2,5.56858,13750,12250,13750,12250,276.624,5,0.051765,179.579,2.36001,2.0945,4.48947,0.367219,162.892,0.5223
65000.3,4.30896,13750,12250,13750,12250,274.845,5,0.853635,232.075,3.76001,3.71903,5.80187,0.273994,195.803,0.5575
65185.8,5.39144,13750,12250,13750,12250,273.44,5,0.490615,185.479,5.16001,5.01738,4.63698,0.355329,152.22,0.4285
