t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
43743.3,47.2925,14450,13350,14450,13350,1688.06,0,0.645262,21.145,0.0400028,0.0400028,0.528625,0.888732,19.1049,0.0442
43764.6,46.9272,14450,13350,14450,13350,1681.38,1,0.178003,21.3096,0.320003,0.0898435,0.53274,0.887917,19.361,0.0425
43784,51.4944,14450,13350,14450,13350,1675.35,0,0.663493,19.4196,0.320003,0.225781,0.48549,0.897328,17.4291,0.0963
43802.8,53.2745,14450,13350,14450,13350,1669.55,1,0.13276,18.7707,0.600003,0.357176,0.469267,0.900582,17.7184,0.0381
43822.5,50.7509,14450,13350,14450,13350,1663.51,0,0.625363,19.7041,0.600003,0.495104,0.492602,0.895905,17.7476,0.0503
43841.2,53.3046,14450,13350,14450,13350,1657.8,1,0.094365,18.7601,0.880003,0.626425,0.469002,0.900635,17.6305,0.04
43863.1,45.7989,14450,13350,14450,13350,1651.2,0,0.64023,21.8346,0.880003,0.779267,0.545865,0.88532,19.9365,0.0394
43884.8,45.9905,14450,13350,14450,13350,1644.68,1,0.18382,21.7436,1.16,0.931472,0.54359,0.885769,20.7044,0.0405
43905.6,48.1135,14450,13350,14450,13350,1638.5,0,0.703425,20.7842,1.16,1.07696,0.519605,0.890523,18.7165,0.0398
43925.3,50.7552,14450,13350,14450,13350,1632.68,1,0.195985,19.7024,1.44,1.21488,0.49256,0.895913,18.6564,0.0528
43945.6,49.271,14450,13350,14450,13350,1626.73,0,0.703382,20.2959,1.44,1.35695,0.507397,0.892952,18.1593,0.0465
43968.9,42.9701,14450,13350,14450,13350,1619.96,1,0.285183,23.272,1.72,1.51985,0.5818,0.878249,21.9743,0.0463
43990.2,46.8327,14450,13350,14450,13350,1613.79,0,0.818998,21.3526,1.72,1.66932,0.533815,0.887704,18.3879,0.0417
44009.3,52.4106,14450,13350,14450,13350,1608.33,1,0.296,19.0801,2,1.80288,0.477003,0.899029,17.8358,0.0521
44036,37.4368,14450,13350,14450,13350,1600.73,0,0.963793,26.7117,2,1.98986,0.667792,0.861557,23.9929,0.05
44054.5,54.0097,14450,13350,14450,13350,1595.51,1,0.426672,18.5152,2.28,2.11947,0.46288,0.901867,17.485,0.0409
44076.8,44.9085,14450,13350,14450,13350,1589.28,0,0.98336,22.2675,2.28,2.27534,0.556687,0.883184,20.2612,0.0401
44096.2,51.5411,14450,13350,14450,13350,1583.89,1,0.46841,19.402,2.56,2.41116,0.48505,0.897416,18.1278,0.0452
44117.6,46.6873,14450,13350,14450,13350,1577.98,1,0.0038875,21.4191,2.84,2.56109,0.535478,0.887374,19.4011,0.0484
44139.3,46.094,14450,13350,14450,13350,1572.04,0,0.546257,21.6948,2.84,2.71295,0.54237,0.886011,19.064,0.0458
44165,38.8789,14450,13350,14450,13350,1565.05,1,0.18928,25.7209,3.12,2.893,0.643022,0.866333,24.6156,0.0516
44211.5,21.4896,14450,13350,14450,13350,1552.57,1,0.352635,46.5342,3.4,3.21874,1.16335,0.771364,43.336,0.0437
44235.4,41.8541,14450,13350,14450,13350,1546.24,0,0.949947,23.8925,3.4,3.38599,0.597313,0.875214,20.2511,0.0431
44258.3,43.6819,14450,13350,14450,13350,1540.22,1,0.522268,22.8928,3.68,3.54624,0.57232,0.880109,21.6766,0.0505
44280.9,44.3176,14450,13350,14450,13350,1534.33,1,0.0863775,22.5644,3.96,3.70419,0.56411,0.881723,20.1292,0.0376
44301,49.8378,14450,13350,14450,13350,1529.13,0,0.588005,20.0651,3.96,3.84464,0.501628,0.894102,18.039,0.0549
44324.9,41.6939,14450,13350,14450,13350,1522.97,1,0.187613,23.9843,4.24,4.01253,0.599608,0.874766,22.5849,0.0388
44347.4,44.4895,14450,13350,14450,13350,1517.23,0,0.749542,22.4772,4.24,4.16987,0.56193,0.882152,20.4655,0.0406
44369.4,45.5038,14450,13350,14450,13350,1511.67,1,0.298948,21.9762,4.52,4.32371,0.549405,0.884621,20.7488,0.0437
44392,44.1563,14450,13350,14450,13350,1505.98,0,0.865117,22.6468,4.52,4.48224,0.56617,0.881318,20.3858,0.0409
44412.3,49.3764,14450,13350,14450,13350,1500.92,1,0.371433,20.2526,4.8,4.624,0.506315,0.893168,18.3011,0.0412
44433.3,47.5534,14450,13350,14450,13350,1495.71,0,0.897157,21.029,4.8,4.77121,0.525725,0.889308,19.064,0.0406
